product_id,product_name,price,rating,review_count,sold_count,comment_count,avg_comment_rating,product_url,positive_ratio,neutral_ratio,negative_ratio,estimated_revenue,product_label
315978,Sách 25 Thuật Đắc Nhân Tâm (Tái Bản 2014),119000.0,0.0,0,0,0,0.0,https://tiki.vn/sach-25-thuat-dac-nhan-tam-tai-ban-2014-p315978.html?spid=273217256,0.0,0.0,0.0,0.0,Normal
316018,Sách Lời Từ Chối Hoàn Hảo,139000.0,0.0,0,0,0,0.0,https://tiki.vn/p/316018,0.0,0.0,0.0,0.0,Normal
316890,Sách 5 Ngôn Ngữ Tình Yêu,132000.0,5.0,8,157,1,5.0,https://tiki.vn/p/316890,1.0,0.0,0.0,20724000.0,Premium / Niche Quality
320319,Sách Từ Giận Dữ Đến Bình An,95000.0,5.0,1,5,1,5.0,https://tiki.vn/p/320319,1.0,0.0,0.0,475000.0,Premium / Niche Quality
320455,Sách Vượt Lên Số Phận,53100.0,0.0,0,0,0,0.0,https://tiki.vn/p/320455,0.0,0.0,0.0,0.0,Normal
320878,Sách Ai Lấy Miếng Pho Mát Của Tôi,64500.0,0.0,0,1,0,0.0,https://tiki.vn/sach-ai-lay-mieng-pho-mat-cua-toi-p320878.html?spid=191681187,0.0,0.0,0.0,64500.0,Normal
320912,Sách Thói Quen Thứ 8 - Từ Hiệu Quả Đến Vĩ Đại,168000.0,0.0,0,1,0,0.0,https://tiki.vn/sach-thoi-quen-thu-8-tu-hieu-qua-den-vi-dai-p320912.html?spid=273623669,0.0,0.0,0.0,168000.0,Normal
320921,Sách Tư Duy Tối Ưu - First Things First,218000.0,0.0,0,6,0,0.0,https://tiki.vn/sach-tu-duy-toi-uu-first-things-first-p320921.html?spid=207427271,0.0,0.0,0.0,1308000.0,High Potential
322063,Sách Khổng Tử Tinh Hoa (Tái Bản),59840.0,4.0,16,575,16,4.0,https://tiki.vn/p/322063,0.8125,0.0625,0.125,34408000.0,Best Seller
322074,Sách Phút Nhìn Lại Mình,74000.0,0.0,0,0,2,3.5,https://tiki.vn/p/322074,0.5,0.5,0.0,0.0,Needs Improvement
322563,Đắc Nhân Tâm - Cuốn Sách Hay Nhất Của Mọi Thời Đại Đưa Bạn Đến Thành Công,68400.0,0.0,0,0,0,0.0,https://tiki.vn/dac-nhan-tam-cuon-sach-hay-nhat-cua-moi-thoi-dai-dua-ban-den-thanh-cong-p322563.html?spid=214173433,0.0,0.0,0.0,0.0,Normal
324406,Sách 10 Nghịch Lý Cuộc Sống,60700.0,0.0,0,18,4,4.5,https://tiki.vn/p/324406,1.0,0.0,0.0,1092600.0,Needs Improvement
324681,Sách Hạt Giống Tâm Hồn 1,76000.0,0.0,0,1,4,4.75,https://tiki.vn/p/324681,1.0,0.0,0.0,76000.0,Needs Improvement
324684,Sách Hạt Giống Tâm Hồn 2,76000.0,0.0,0,1,0,0.0,https://tiki.vn/p/324684,0.0,0.0,0.0,76000.0,Normal
324688,Sách Hạt Giống Tâm Hồn 3,50160.0,4.5,4,13,4,4.5,https://tiki.vn/p/324688,1.0,0.0,0.0,652080.0,Premium / Niche Quality
324967,Sách Chicken Soup For The Soul 23 - Trái Tim Người Cha,57000.0,4.5,2,0,2,4.5,https://tiki.vn/p/324967,1.0,0.0,0.0,0.0,Premium / Niche Quality
326053,Sách 22 Quy Luật Bất Biến Trong Marketing,78000.0,0.0,0,0,0,0.0,https://tiki.vn/sach-22-quy-luat-bat-bien-trong-marketing-p326053.html?spid=277543870,0.0,0.0,0.0,0.0,Normal
328316,Sách Chìa Khóa Tư Duy Tích Cực,74100.0,0.0,0,1,0,0.0,https://tiki.vn/sach-chia-khoa-tu-duy-tich-cuc-p328316.html?spid=190092296,0.0,0.0,0.0,74100.0,Normal
331905,Sách Dám Dẫn Đầu,90160.0,0.0,0,5,0,0.0,https://tiki.vn/sach-dam-dan-dau-p331905.html?spid=190106287,0.0,0.0,0.0,450800.0,Normal
333483,Sách Người Giàu Có Nhất Thành Babylon,93000.0,0.0,0,3,0,0.0,https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-p333483.html?spid=274536529,0.0,0.0,0.0,279000.0,Needs Improvement
335321,Sách Marketing Đột Phá,106200.0,0.0,0,0,0,0.0,https://tiki.vn/sach-marketing-dot-pha-p335321.html?spid=261984596,0.0,0.0,0.0,0.0,Normal
